eid,sid,v,d
1,0,6,10
2,1,10,5
3,2,8,7
4,2,5,10
5,3,7,10
6,5,7,6
7,4,10,5
8,6,8,5
9,7,10,8
10,5,10,8
11,8,6,10
12,6,8,6
13,9,5,5
14,4,9,9
15,12,7,8
16,15,9,6
17,11,6,8
18,17,10,7
19,18,10,5
20,19,8,6
21,19,9,6
22,21,6,8
23,20,10,10
24,2,7,10
25,23,5,9
26,24,10,5
27,1,10,7
28,11,10,7
29,5,6,8
30,13,7,5
31,13,5,10
32,22,8,8
33,16,10,6
34,31,9,9
35,4,5,10
36,0,10,5
37,32,10,8
38,22,8,8
39,5,9,9
40,38,10,6
41,15,10,8
42,36,7,10
43,16,10,6
44,25,10,9
45,26,5,9
46,1,9,8
47,32,7,6
48,23,5,10
49,14,5,7
50,31,8,10
51,44,10,8
52,40,9,8
53,44,7,9
54,52,6,6
55,35,7,5
56,0,5,8
57,40,9,6
58,50,7,6
59,38,10,6
60,47,9,9
61,4,6,7
62,58,5,5
63,46,6,7
64,16,8,6
65,63,8,10
66,47,6,5
67,50,8,6
68,41,9,9
69,63,7,5
70,49,8,7
71,55,8,10
72,66,7,8
73,23,10,8
74,52,7,10
75,50,5,10
76,65,7,5
77,72,9,9
78,71,5,8
79,14,6,9
80,16,8,9
81,62,5,9
82,52,8,9
83,82,8,5
84,25,6,8
85,51,7,8
86,4,10,7
87,85,6,6
88,33,7,7
89,14,9,8
90,22,5,6
91,16,6,5
92,44,5,6
93,63,6,10
94,16,9,8
95,43,8,10
96,47,9,5
97,86,9,7
98,44,7,9
99,26,10,10
100,76,9,10
101,82,6,9
102,81,10,8
103,100,7,8
104,4,7,8
105,56,7,6
106,27,10,8
107,26,9,5
108,4,8,9
109,48,6,10
110,40,10,9
111,18,10,8
112,23,6,10
113,97,8,6
114,12,10,8
115,82,9,5
116,38,10,9
117,93,6,8
118,72,8,6
119,113,9,10
120,43,5,7
121,89,6,6
122,97,5,7
123,20,5,9
124,102,8,6
125,33,6,5
126,4,6,10
127,90,8,6
128,43,8,10
129,85,5,8
130,110,7,7
131,5,7,6
132,89,6,9
133,82,6,7
134,127,5,10
135,47,6,5
136,85,5,9
137,119,5,5
138,115,5,10
139,124,10,10
140,85,6,9
141,121,9,8
142,137,7,9
143,115,9,8
144,52,6,7
145,106,6,5
146,100,6,6
147,100,10,8
148,52,7,6
149,65,9,10
150,125,6,6
151,147,6,9
152,78,9,8
153,101,8,8
154,140,5,10
155,74,7,8
156,123,10,8
157,84,10,6
158,32,6,8
159,75,9,6
160,137,10,7
161,65,5,7
162,48,6,6
163,59,6,7
164,116,5,8
165,28,7,6
166,147,9,10
167,159,9,6
168,122,7,9
169,122,9,8
170,63,7,7
171,20,7,6
172,92,9,5
173,152,8,6
174,142,10,8
175,151,9,7
176,107,9,8
177,151,9,8
178,147,7,10
179,157,7,9
180,161,6,5
181,170,7,7
182,83,6,7
183,89,8,7
184,38,9,10
185,47,5,5
186,59,10,7
187,111,7,5
188,49,8,9
189,178,9,9
190,85,7,8
191,55,7,6
192,176,8,9
193,134,8,7
194,95,10,7
195,28,10,9
196,167,9,7
197,134,10,9
198,122,9,5
199,1,10,8
200,192,5,7
201,146,10,9
202,83,5,10
203,199,5,5
204,139,8,5
205,77,6,10
206,189,8,7
207,204,8,5
208,106,7,10
209,106,10,6
210,175,5,10
211,194,7,9
212,41,6,6
213,141,5,5
214,140,5,6
215,12,9,7
216,43,6,9
217,136,9,5
218,183,10,5
219,43,5,9
220,199,10,9
221,68,5,6
222,170,10,10
223,16,5,5
224,36,10,9
225,185,6,6
226,220,7,6
227,16,6,8
228,146,6,8
229,206,8,9
230,74,9,6
231,116,8,9
232,170,6,7
233,95,9,5
234,56,6,9
235,99,9,9
236,18,6,6
237,207,10,6
238,118,8,8
239,151,8,5
240,160,7,8
241,99,9,9
242,218,6,5
243,56,5,7
244,229,10,5
245,36,10,5
246,99,8,9
247,176,6,8
248,226,6,7
249,134,9,7
250,146,9,8
251,224,6,9
252,159,10,8
253,186,10,5
254,73,8,9
255,106,5,5
256,27,10,8
257,224,7,7
258,63,8,5
259,203,5,9
260,44,9,7
261,252,6,8
262,146,7,7
263,102,7,9
