vid,x,y,theta,cost
0,380,500,1.5707963267948966,0
1,494.0,75.0,1.3076135578162051,440.0238629892702
2,382.0,283.0,1.563689382064595,217.00921639414304
3,306.0,66.0,1.7400684922743639,440.2635574289564
4,399.0,80.0,1.4849425192345722,420.71979540269626
5,394.0,134.0,1.488867086515334,366.4916568344837
6,367.0,92.0,1.6473444076901027,408.5973162333554
7,446.0,201.0,1.3529164725188896,306.1976485866604
8,410.0,96.0,1.4960749339753519,405.1123301011708
9,376.0,68.0,1.5968272997719972,432.09292103026837
10,409.0,130.0,1.4927717432764762,371.13474641967974
11,381.0,200.0,1.5676204425547793,300.00166666203705
12,399.0,309.0,1.4709906606657404,191.94269978303421
13,424.0,156.0,1.4095217804340003,346.9717293226659
14,356.0,146.0,1.6398379117990003,354.81262660734046
15,410.0,94.0,1.5207672000618473,407.2239112251849
16,430.0,106.0,1.4199347930814765,397.29605378534893
17,356.0,236.0,1.66254514437887,265.08866441249427
18,399.0,154.0,1.5720831757243656,346.9426997830342
19,368.0,280.0,1.6240805927627429,220.32702966272657
20,397.0,73.0,1.530161911060124,427.3382735023859
21,424.0,96.0,1.4520186568331566,406.40481765003653
22,407.0,213.0,1.4759507861263126,288.2672371255533
23,307.0,193.0,1.8032476812789344,315.55982000248383
24,399.0,221.0,1.5030226364883008,279.6462050520264
25,394.0,120.0,1.534871952052653,380.2578072834271
26,360.0,286.0,1.6655602424761633,214.93254755853056
27,428.0,71.0,1.4498725076516168,431.7029967464806
28,367.0,130.0,1.6057507855159217,370.22830793984406
29,334.0,167.0,1.7093255017130498,336.1621632486321
30,386.0,230.0,1.5474884471784134,270.06665843824555
31,393.0,158.0,1.533897261867472,342.2469868384527
32,344.0,142.0,1.6698055195328116,359.8055030151707
33,418.0,70.0,1.4817547133707287,431.6758042790909
34,459.0,182.0,1.3269307676225142,327.6659884699662
35,330.0,72.0,1.708571428981467,431.02512031381985
36,351.0,257.0,1.6907238150587471,244.72433471152803
37,346.0,279.0,1.7246031168497369,223.6000894454204
38,378.0,95.0,1.5765546044648362,405.0049382414985
39,311.0,130.0,1.7548894296408506,376.3787985527346
40,390.0,265.0,1.5282304638615127,235.2126697267815
41,370.0,115.0,1.5961803562645749,385.12984823303424
42,360.0,256.0,1.6529516316138932,244.8182999695897
43,421.0,85.0,1.470691121025976,417.0204641223843
44,408.0,280.0,1.4461566718541088,221.7746604100658
45,409.0,69.0,1.5035493924823156,431.97453628657325
46,347.0,256.0,1.7039005025142036,246.22144504490262
47,351.0,65.0,1.6491338313679578,435.9980754709203
48,318.0,101.0,1.724448261027894,403.7888793298081
49,489.0,123.0,1.2901232542349927,392.441078379927
50,433.0,137.0,1.3726324524692768,367.27096333457916
51,415.0,145.0,1.4706834783763545,356.721339175402
52,410.0,99.0,1.518526497202193,402.2305976754236
53,402.0,154.0,1.5536523033519145,346.9717293226659
54,368.0,248.0,1.6180324871679634,252.28555249954366
55,334.0,160.0,1.7048520998690382,343.0976537372414
56,422.0,131.0,1.4766197364986966,371.43093324886127
57,385.0,77.0,1.5586353718057766,423.02954979528323
58,485.0,156.0,1.2752820511305272,359.667902376623
59,380.0,194.0,1.570762062499326,306.0
60,390.0,248.0,1.5326029197320472,252.1983346495373
61,493.0,77.0,1.309605324887686,437.8333016114695
62,327.0,95.0,1.6730024003523831,408.5784665601524
63,432.0,174.0,1.4122851945954245,330.1211898682058
