vertex,x,y,theta,near_x,near_y
1,367.0,426.0,15.734870433582476,402.06566746851007,424.8091633392589
2,428.0,460.0,18.350264613557897,367.0,426.0
3,400.0,431.0,21.18417618679838,428.0,460.0
4,391.0,392.0,14.465565497952134,402.06566746851007,424.8091633392589
5,375.0,427.0,21.84813007297952,400.0,431.0
6,463.0,493.0,24.368191176802668,428.0,460.0
7,424.0,364.0,26.040244367663764,375.0,427.0
8,433.0,489.0,28.129808116020097,463.0,493.0
9,367.0,461.0,23.34159881903865,375.0,427.0
10,345.0,347.0,28.06910912033799,424.0,364.0
11,384.0,388.0,30.60368829520287,345.0,347.0
12,432.0,394.0,31.29694243313302,384.0,388.0
13,350.0,436.0,27.308174825986637,367.0,461.0
14,413.0,359.0,33.47115638545283,432.0,394.0
15,328.0,476.0,28.631408809189715,367.0,461.0
16,369.0,350.0,34.3564607057625,413.0,359.0
17,362.0,379.0,35.89949457689549,369.0,350.0
18,423.0,396.0,37.42628562166209,362.0,379.0
19,311.0,410.0,41.388699265517765,362.0,379.0
20,458.0,323.0,38.82430059236798,423.0,396.0
21,335.0,308.0,39.94142522643591,369.0,350.0
22,413.0,346.0,41.30949126758815,458.0,323.0
23,468.0,518.0,30.036127743163387,463.0,493.0
24,448.0,352.0,43.8019027115108,413.0,346.0
25,492.0,344.0,44.16827532173783,448.0,352.0
26,531.0,337.0,50.4334716439104,492.0,344.0
27,455.0,403.0,42.37896873433135,458.0,323.0
28,344.0,507.0,30.317051235566183,328.0,476.0
29,561.0,333.0,56.67226482987144,531.0,337.0
30,454.0,373.0,45.579656158066065,455.0,403.0
31,452.0,449.0,30.16561590058999,424.0,364.0
32,285.0,304.0,40.763376798055006,335.0,308.0
33,424.0,391.0,47.68013222915589,454.0,373.0
34,318.0,324.0,14.959969423780054,391.0,392.0
35,348.0,407.0,29.896538140676345,345.0,347.0
36,404.0,428.0,36.580405496132855,384.0,388.0
37,494.0,431.0,43.36287764206156,455.0,403.0
38,609.0,331.0,62.86732338077879,561.0,333.0
39,660.0,294.0,63.45524128887054,609.0,331.0
40,361.0,450.0,16.265939624454838,402.06566746851007,424.8091633392589
41,254.0,438.0,47.585379710331495,311.0,410.0
42,456.0,524.0,23.977266081007627,428.0,460.0
43,593.0,298.0,57.37812600382801,561.0,333.0
44,510.0,263.0,44.83870659719445,458.0,323.0
45,272.0,352.0,46.137295136920876,311.0,410.0
46,445.0,367.0,32.522456038778785,432.0,394.0
47,443.0,297.0,26.429279795870855,424.0,364.0
48,343.0,289.0,28.196379347998572,443.0,297.0
49,425.0,509.0,31.385177778826897,344.0,507.0
50,337.0,341.0,18.124869954674438,318.0,324.0
51,362.0,318.0,30.42010535102157,343.0,289.0
52,463.0,280.0,47.47107031157093,510.0,263.0
53,375.0,468.0,32.32132657854481,344.0,507.0
54,512.0,256.0,31.94737636740482,443.0,297.0
55,659.0,350.0,68.74796368574721,609.0,331.0
56,608.0,247.0,65.24178226943302,660.0,294.0
57,256.0,258.0,46.11359434542417,285.0,304.0
58,503.0,183.0,45.63475188699121,510.0,263.0
59,406.0,343.0,18.638612046962724,318.0,324.0
60,424.0,384.0,41.90968003390276,458.0,323.0
61,297.0,210.0,51.13374489016999,256.0,258.0
62,326.0,494.0,34.402826607629095,425.0,509.0
63,424.0,501.0,28.483392802407565,463.0,493.0
64,502.0,297.0,48.4734236803353,510.0,263.0
65,453.0,366.0,29.992988902945605,443.0,297.0
66,336.0,179.0,57.2252003231858,297.0,210.0
67,223.0,364.0,52.23645628671904,254.0,438.0
68,400.0,211.0,62.363741366827064,336.0,179.0
69,363.0,266.0,32.270723487858,343.0,289.0
70,387.0,508.0,37.47982685830105,326.0,494.0
71,416.0,289.0,40.15426190880013,458.0,323.0
72,580.0,241.0,37.9138764663177,512.0,256.0
73,536.0,367.0,60.5722645339076,593.0,298.0
74,570.0,236.0,65.6946768756945,608.0,247.0
75,704.0,284.0,69.33405512765685,660.0,294.0
76,548.0,387.0,60.79027460057734,593.0,298.0
77,495.0,329.0,38.351274972797675,445.0,367.0
78,193.0,381.0,53.92880980020829,223.0,364.0
79,217.0,429.0,55.446477683801625,193.0,381.0
80,525.0,483.0,49.22966307789557,494.0,431.0
81,521.0,207.0,49.34482178991115,503.0,183.0
82,246.0,486.0,55.448025318175404,217.0,429.0
83,356.0,474.0,32.645279381286784,344.0,507.0
84,251.0,358.0,48.64242129462464,256.0,258.0
85,276.0,498.0,49.05150025972199,254.0,438.0
86,348.0,367.0,40.47502841595393,423.0,396.0
87,311.0,219.0,33.81544485240586,363.0,266.0
88,362.0,347.0,14.712147838708047,391.0,392.0
89,383.0,188.0,62.646848831866315,336.0,179.0
90,166.0,267.0,47.220472457332164,256.0,258.0
91,358.0,298.0,19.41826096689579,318.0,324.0
92,373.0,210.0,37.83967338392957,311.0,219.0
93,309.0,423.0,34.95553796068464,348.0,407.0
94,453.0,356.0,30.013418448178893,443.0,297.0
95,339.0,242.0,61.31122915990812,336.0,179.0
96,151.0,234.0,52.25629113257876,166.0,267.0
97,299.0,350.0,42.710573804824215,285.0,304.0
98,502.0,222.0,40.60549085155827,580.0,241.0
99,517.0,216.0,45.40350246834316,510.0,263.0
100,269.0,324.0,46.41933609346715,299.0,350.0
101,378.0,199.0,37.98632959652768,311.0,219.0
102,333.0,293.0,20.51150728845694,337.0,341.0
103,426.0,309.0,20.020573926274373,391.0,392.0
104,250.0,483.0,52.8838168907441,276.0,498.0
105,530.0,412.0,42.815731579471574,495.0,329.0
106,285.0,465.0,35.609759340398675,309.0,423.0
107,404.0,467.0,22.25971561450484,428.0,460.0
108,240.0,308.0,15.506652593949312,318.0,324.0
109,380.0,145.0,63.484458521974986,336.0,179.0
110,274.0,271.0,19.673937795283177,240.0,308.0
111,475.0,226.0,53.80464469212385,521.0,207.0
112,275.0,231.0,20.39677969292335,274.0,271.0
113,275.0,327.0,48.96868212816421,256.0,258.0
114,502.0,285.0,41.35269489190929,580.0,241.0
