eid,sid,v,d
1,0,16,2
2,0,20,1
3,0,11,3
4,0,11,1
5,4,14,1
6,5,14,1
7,1,13,1
8,4,17,1
9,0,13,1
10,4,13,2
11,0,13,2
12,5,14,1
13,0,12,3
14,0,14,2
15,9,16,2
16,4,13,1
17,15,10,1
18,9,11,1
19,0,14,2
20,2,20,1
21,2,15,1
22,4,18,1
23,11,11,1
24,8,10,1
25,0,18,1
26,2,17,1
27,9,19,1
28,0,18,2
29,4,12,2
30,25,14,1
31,4,18,1
32,25,13,1
33,5,11,1
34,11,11,1
35,1,11,1
36,4,13,1
37,25,12,2
38,27,10,2
39,4,11,1
40,27,15,1
41,27,10,1
42,0,20,2
43,27,11,1
44,25,10,2
45,9,12,2
46,25,13,2
47,5,11,1
48,0,10,1
49,0,10,3
50,45,10,1
51,9,14,1
52,9,18,2
53,51,13,1
54,27,14,1
55,27,10,1
56,9,16,1
57,0,12,3
58,0,12,1
59,45,15,1
60,9,18,1
61,9,11,2
62,45,16,1
63,25,14,2
64,9,16,1
65,4,11,1
66,11,13,1
67,25,15,1
68,27,11,1
69,2,10,1
70,27,14,1
71,64,10,2
72,0,19,2
73,22,11,1
74,48,18,1
75,27,12,1
76,61,11,1
77,48,20,1
78,4,12,2
79,11,16,1
80,9,13,2
81,0,10,3
82,61,13,1
83,0,13,2
84,25,14,1
85,0,14,2
86,9,18,2
87,9,16,1
88,0,10,3
89,48,17,1
90,27,20,1
91,15,12,1
92,0,12,3
93,27,10,2
94,25,11,1
95,51,10,1
96,0,12,2
97,1,12,1
98,48,15,2
99,25,20,1
100,2,10,1
101,32,10,1
